08:34:55,1040876,2881812,73.47,2120,128784,9402860,76.38
08:34:56,1033664,2889024,73.65,2124,129808,9498340,77.15
08:34:57,1020128,2902560,73.99,2360,130476,9506576,77.22
08:34:58,1002876,2919812,74.43,2372,130720,9509128,77.24
08:34:59,987772,2934916,74.82,2380,131028,9509128,77.24
08:35:00,974132,2948556,75.17,2380,135024,9510676,77.25
08:35:01,962196,2960492,75.47,2380,135896,9512732,77.27
08:35:02,951904,2970784,75.73,2380,139112,9513372,77.27
08:35:03,940528,2982160,76.02,2380,139448,9515948,77.29
08:35:04,931088,2991600,76.26,2392,140028,9520556,77.33
08:35:05,929072,2993616,76.32,2524,140452,9525284,77.37
08:35:06,921952,3000736,76.50,2528,140856,9537560,77.47
08:35:07,827648,3095040,78.90,2532,125444,9642592,78.32
08:35:08,755588,3167100,80.74,2532,148532,9803624,79.63
08:35:09,664448,3258240,83.06,2540,171196,9803624,79.63
08:35:10,574020,3348668,85.37,2540,192900,9871700,80.18
08:35:11,472424,3450264,87.96,2544,208508  10052660,81.65
08:35:12,423336,3499352,89.21,2544,248476  10052648,81.65
08:35:13,283060,3639628,92.78,2544,258148  10258160,83.32
08:35:14,214460,3708228,94.53,2556,258172  10331496,83.92
08:35:15,746240,3176448,80.98,2556,258000,9543520,77.52
08:35:16,650140,3272548,83.43,2556,257976,9703128,78.81
08:35:17,490552,3432136,87.49,2556,257964,9947852,80.80
08:35:18,931336,2991352,76.26,2556,257740,9323404,75.73
08:35:19,931368,2991320,76.26,2568,257816,9323416,75.73
08:35:20,920632,3002056,76.53,2572,257864,9416400,76.49
08:35:21,888452,3034236,77.35,2572,257900,9423596,76.54
08:35:22,878408,3044280,77.61,2572,257844,9423584,76.54
08:35:23,871556,3051132,77.78,2572,258016,9424860,76.55
08:35:24,858784,3063904,78.11,2580,258020,9424848,76.55
08:35:25,853108,3069580,78.25,2580,257992,9427144,76.57
08:35:26,842552,3080136,78.52,2580,258004,9429784,76.59
08:35:27,838692,3083996,78.62,2580,258128,9430804,76.60
08:35:28,832800,3089888,78.77,2580,258180,9437120,76.65
08:35:29,627532,3295156,84.00,2580,258144,9703224,78.82
08:35:30,477228,3445460,87.83,2592,261920,9947884,80.80
08:35:31,279172,3643516,92.88,2592,261996  10227856,83.08
08:35:32,1045808,2876880,73.34,2592,262052,9206148,74.78
08:35:33,1049444,2873244,73.25,2868,262192,9185016,74.61
08:35:34,1145824,2776864,70.79,2984,262936,9068620,73.66
08:35:35,1145708,2776980,70.79,2984,262944,9068620,73.66
08:35:36,1145848,2776840,70.79,2996,262936,9068620,73.66
08:35:37,1144972,2777716,70.81,2996,263644,9068620,73.66
08:35:38,1266236,2656452,67.72,3040,263432,8883476,72.16
