1,[7164]
2,[5228]
3,[5736]
4,[8044, 8572]
5,[-161864]
6,[18596]
7,[5724]
8,[20308, 5008, 12352, -412588, 5720]
9,[5688]
10,[29760]
11,[41680]
12,[248]
13,[6588]
14,[3309392, 18104, 17120, 7952, 6324, 6812, 12012, 13912, 6068, 10656, 1808, 15748, 8092, 3992, 784, 3472, 1860, 720, 1024, 1296, 3828, 7192, 4836, -2108, 13252, 4976, -720, 2504, 4712, 3332, 5132, 3156, 4344, 108396, 75388, -6548, -3100, -1304, -2436, -196624, 4124, 2124, 11760, 8192, 7440, 13128, 15004, 8292, 12896, 12664, 15268, 6192, 7688, 5612, 3984, 10384, 6604, 27436, 1488, 13856, 7380, 2304, 4496, 9952, 14648, -992, -92536, -248, -32]
15,[5008]
16,[-300]
